"nursery_id","status","check","classification","type","name","name_kana","district","district_alphabet","address","address_note","tel","childcare_age","capacity","open_weekday","close_weekday","open_saturday","close_saturday","h11","h8","shuttle_bus","available_day","is_temporary_care","longitude","latitude"
"1","既存","","公立","保育所","大穂保育所","オオホホイクショ","大穂地区","oho","つくば市大曽根3410番地","","029-864-0174","６か月～５歳","120","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.085149","36.138959999999997"
"2","既存","","公立","保育所","上郷保育所","カミゴウホイクショ","豊里地区","toyosato","つくば市上郷2499番地","","029-847-2124","１歳～５歳","90","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.01508100000001","36.097433000000002"
"3","既存","","公立","保育所","今鹿島保育所","イマカシマホイクショ","豊里地区","toyosato","つくば市今鹿島5087番地","","029-847-5174","１歳～５歳","90","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.04344900000001","36.126272"
"5","既存","","公立","保育所","真瀬保育所","マセホイクショ","谷田部地区","yatabe","つくば市真瀬582番地1","","029-836-0162","６か月～５歳","90","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.04586800000001","36.045175999999998"
"7","既存","","公立","保育所","手代木南保育所","テシロギミナミホイクショ","谷田部地区","yatabe","つくば市松代4丁目15番地1","","029-851-9328","６か月～５歳","120","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.104535","36.063122"
"8","既存","","公立","保育所","二の宮保育所","ニノミヤホイクショ","谷田部地区","yatabe","つくば市二の宮4丁目9番地1","","029-855-5541","産休明け～５歳","140","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.11690999999999","36.060515000000002"
"9","既存","","公立","保育所","松代保育所","マツシロホイクショ","谷田部地区","yatabe","つくば市松代2丁目21番地3","","029-855-0710","産休明け～５歳","135","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.10043200000001","36.071049000000002"
"13","既存","","公立","保育所","竹園保育所","タケゾノホイクショ","桜地区","sakura","つくば市竹園3丁目18番地1","","029-851-5766","６か月～５歳","125","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.12522860000001","36.080564000000003"
"14","既存","","公立","保育所","並木保育所","ナミキホイクショ","桜地区","sakura","つくば市並木4丁目2番地3","","029-851-5333","６か月～５歳","110","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.143441","36.063183000000002"
"15","既存","定員変更","公立","保育所","吾妻保育所","アズマホイクショ","桜地区","sakura","つくば市吾妻2丁目5番地4","","029-851-8142","６か月～５歳","124","7:30","19:00","7:45","13:00","7:30〜18:30","8:30〜16:30","","月～土","無","140.10846799999999","36.084735999999999"
